=== Run 1 ===
Message ID | Bytes | Avg Latency | Num Latencies
ID 370002   | 736   bytes | 7575.90     | 88 latencies
ID 370003   | 38    bytes | 8532.08     | 88 latencies
ID 380001   | 37    bytes | 5070.64     | 88 latencies
ID 380002   | 736   bytes | 6930.91     | 88 latencies
ID 380003   | 38    bytes | 8551.27     | 88 latencies
ID 390001   | 37    bytes | 4200.19     | 88 latencies
ID 390002   | 736   bytes | 8515.07     | 88 latencies
ID 390003   | 38    bytes | 8387.08     | 88 latencies
ID 400001   | 37    bytes | 4095.94     | 88 latencies
ID 400002   | 736   bytes | 8436.50     | 88 latencies
ID 400003   | 38    bytes | 8558.97     | 88 latencies
ID 410001   | 37    bytes | 4574.65     | 88 latencies
ID 410002   | 736   bytes | 7410.62     | 88 latencies
ID 410003   | 38    bytes | 8404.88     | 88 latencies
ID 420001   | 37    bytes | 5211.60     | 88 latencies
ID 420002   | 736   bytes | 8722.31     | 88 latencies
ID 420003   | 38    bytes | 8591.19     | 88 latencies
ID 430001   | 37    bytes | 4535.16     | 88 latencies
ID 430002   | 736   bytes | 8668.06     | 88 latencies
ID 430003   | 38    bytes | 8530.43     | 88 latencies
ID 440001   | 37    bytes | 5507.12     | 88 latencies
ID 440002   | 736   bytes | 8647.99     | 88 latencies
ID 440003   | 38    bytes | 8512.17     | 88 latencies
ID 450001   | 37    bytes | 5124.67     | 88 latencies
ID 450002   | 736   bytes | 8615.89     | 88 latencies
ID 450003   | 38    bytes | 8479.39     | 88 latencies
ID 460001   | 37    bytes | 5421.65     | 88 latencies
ID 460002   | 736   bytes | 7721.31     | 88 latencies
ID 460003   | 38    bytes | 8539.72     | 88 latencies
ID 470001   | 37    bytes | 4500.62     | 88 latencies
ID 470002   | 736   bytes | 8709.20     | 88 latencies
ID 470003   | 38    bytes | 8570.60     | 88 latencies
ID 480001   | 37    bytes | 5544.11     | 88 latencies
ID 480002   | 736   bytes | 8636.68     | 88 latencies
ID 480003   | 38    bytes | 8517.16     | 88 latencies
ID 490001   | 37    bytes | 4944.44     | 88 latencies
ID 490002   | 736   bytes | 8700.94     | 88 latencies
ID 490003   | 38    bytes | 8568.84     | 88 latencies
ID 500001   | 37    bytes | 5260.53     | 88 latencies
ID 500002   | 736   bytes | 7116.58     | 88 latencies
ID 500003   | 38    bytes | 7775.12     | 88 latencies
ID 510001   | 37    bytes | 4904.73     | 88 latencies
ID 510002   | 736   bytes | 6487.42     | 88 latencies
ID 510003   | 38    bytes | 8575.49     | 88 latencies
ID 520001   | 37    bytes | 5502.31     | 88 latencies
ID 520002   | 736   bytes | 7092.53     | 88 latencies
ID 520003   | 38    bytes | 8413.06     | 88 latencies
ID 530001   | 37    bytes | 5344.67     | 88 latencies
ID 530002   | 736   bytes | 8711.32     | 88 latencies
ID 530003   | 38    bytes | 8589.42     | 88 latencies
ID 540001   | 37    bytes | 4678.27     | 88 latencies
ID 540002   | 736   bytes | 8415.49     | 88 latencies
ID 540003   | 38    bytes | 8529.17     | 88 latencies
ID 550001   | 37    bytes | 4505.28     | 88 latencies
ID 550002   | 736   bytes | 8640.95     | 88 latencies
ID 550003   | 38    bytes | 8570.58     | 88 latencies
ID 560001   | 37    bytes | 4932.81     | 88 latencies
ID 560002   | 736   bytes | 7196.88     | 88 latencies
ID 560003   | 38    bytes | 8591.47     | 88 latencies
ID 570001   | 37    bytes | 4583.44     | 88 latencies
ID 570002   | 736   bytes | 6706.17     | 88 latencies
ID 570003   | 38    bytes | 8416.85     | 88 latencies
ID 580001   | 37    bytes | 4950.52     | 88 latencies
ID 580002   | 736   bytes | 7808.10     | 88 latencies
ID 580003   | 38    bytes | 7757.73     | 88 latencies
ID 590001   | 37    bytes | 4213.95     | 88 latencies
ID 590002   | 736   bytes | 7494.68     | 88 latencies
ID 590003   | 38    bytes | 8502.38     | 88 latencies
ID 600001   | 37    bytes | 4521.20     | 88 latencies
ID 600002   | 736   bytes | 6962.40     | 88 latencies
ID 600003   | 38    bytes | 8549.70     | 88 latencies
ID 610001   | 37    bytes | 4455.07     | 88 latencies
ID 610002   | 736   bytes | 7512.97     | 88 latencies
ID 610003   | 38    bytes | 7923.68     | 88 latencies
ID 620001   | 37    bytes | 4491.94     | 88 latencies
ID 620002   | 736   bytes | 8154.47     | 88 latencies
ID 620003   | 38    bytes | 8024.45     | 88 latencies
ID 630001   | 37    bytes | 4438.02     | 88 latencies
ID 630002   | 736   bytes | 6746.74     | 88 latencies
ID 630003   | 38    bytes | 8502.17     | 88 latencies
ID 640001   | 37    bytes | 4992.40     | 88 latencies
ID 640002   | 736   bytes | 8679.72     | 88 latencies
ID 640003   | 38    bytes | 8552.25     | 88 latencies
ID 650001   | 37    bytes | 5140.28     | 88 latencies
ID 650002   | 736   bytes | 8530.44     | 88 latencies
ID 650003   | 38    bytes | 8434.00     | 88 latencies
ID 660001   | 37    bytes | 4614.65     | 88 latencies
ID 660002   | 736   bytes | 7918.57     | 88 latencies
ID 660003   | 38    bytes | 7822.97     | 88 latencies
ID 670001   | 37    bytes | 4342.74     | 88 latencies
ID 670002   | 736   bytes | 8303.44     | 88 latencies
ID 670003   | 38    bytes | 8551.08     | 88 latencies
ID 680001   | 37    bytes | 4316.12     | 88 latencies
ID 680002   | 736   bytes | 8296.65     | 88 latencies
ID 680003   | 38    bytes | 8184.10     | 88 latencies
ID 690001   | 37    bytes | 5292.00     | 88 latencies
ID 690002   | 736   bytes | 8325.67     | 88 latencies
ID 690003   | 38    bytes | 8207.17     | 88 latencies
ID 700001   | 37    bytes | 4537.98     | 88 latencies
ID 700002   | 736   bytes | 8030.97     | 88 latencies
ID 700003   | 38    bytes | 8595.23     | 88 latencies
ID 710001   | 37    bytes | 4791.78     | 88 latencies
ID 710002   | 736   bytes | 8725.42     | 88 latencies
ID 710003   | 38    bytes | 8589.84     | 88 latencies
ID 720001   | 37    bytes | 5453.57     | 88 latencies
ID 720002   | 736   bytes | 8727.02     | 88 latencies
ID 720003   | 38    bytes | 8589.41     | 88 latencies
ID 730001   | 37    bytes | 4190.17     | 88 latencies
ID 730002   | 736   bytes | 8726.70     | 88 latencies
ID 730003   | 38    bytes | 8589.45     | 88 latencies
ID 740001   | 37    bytes | 4580.74     | 88 latencies
ID 740002   | 736   bytes | 8723.81     | 88 latencies
ID 740003   | 38    bytes | 8585.25     | 88 latencies
ID 750001   | 37    bytes | 4516.51     | 88 latencies
ID 750002   | 736   bytes | 8697.65     | 88 latencies
ID 750003   | 38    bytes | 8565.91     | 88 latencies
ID 760001   | 37    bytes | 4930.72     | 88 latencies
ID 760002   | 736   bytes | 7218.08     | 88 latencies
ID 760003   | 38    bytes | 8561.23     | 88 latencies
ID 770001   | 37    bytes | 5468.81     | 88 latencies
ID 770002   | 736   bytes | 8716.66     | 88 latencies
ID 770003   | 38    bytes | 8579.26     | 88 latencies
ID 780001   | 37    bytes | 4673.98     | 88 latencies
ID 780002   | 736   bytes | 8511.05     | 88 latencies
ID 780003   | 38    bytes | 8443.57     | 88 latencies
ID 790001   | 37    bytes | 5151.16     | 88 latencies
ID 790002   | 736   bytes | 7642.33     | 88 latencies
ID 790003   | 38    bytes | 8488.23     | 88 latencies
ID 800001   | 37    bytes | 4237.03     | 88 latencies
ID 800002   | 736   bytes | 8405.85     | 88 latencies
ID 800003   | 38    bytes | 8316.06     | 88 latencies
ID 810001   | 37    bytes | 5010.03     | 88 latencies
ID 810002   | 736   bytes | 8668.19     | 88 latencies
ID 810003   | 38    bytes | 8561.45     | 88 latencies
ID 820001   | 37    bytes | 5238.25     | 88 latencies
ID 820002   | 736   bytes | 8728.01     | 88 latencies
ID 820003   | 38    bytes | 8590.12     | 88 latencies
ID 830001   | 37    bytes | 4088.05     | 88 latencies
ID 830002   | 736   bytes | 7379.65     | 88 latencies
ID 830003   | 38    bytes | 8369.31     | 88 latencies
